dataset,parameter,marginal_contribution_accuracy,marginal_contribution_runtime
fruits,weight_decay,0.0031786090419960657,0.0028853001134922346
flowers,batch_size,0.004854786050101506,0.005906397129000444
flowers,epochs,0.00760376007750167,0.9672941665562892
flowers,h_flip,0.00014897555675363953,3.995546595584595e-05
flowers,learning_rate_init,0.004533779590539859,0.0001425109826365365
flowers,lr_decay,0.0006748855135039409,0.00046238521924001546
flowers,momentum,0.0037769283846277825,5.2750607798881356e-05
flowers,patience,0.011464584371954967,0.0002193239304045381
flowers,resize_crop,0.0007879018981607768,4.557965158406771e-05
flowers,shuffle,0.869556330095201,1.180135064408058e-05
flowers,tolerance,0.0004063358608384614,0.0015596519300897186
flowers,v_flip,8.407256828506513e-06,8.399180104741243e-06
flowers,weight_decay,0.001535656006184063,0.00010486136697321786
svhn,batch_size,0.03562940029716629,0.05803664349861739
svhn,epochs,0.013815283834106365,0.9137474631452314
svhn,h_flip,0.0006438233513072352,3.3801839944468025e-07
svhn,learning_rate_init,0.3449672281166598,1.4445428122908491e-05
svhn,lr_decay,0.0061720623225672,5.4490812719080255e-05
svhn,momentum,0.07950758418011955,7.406174983275366e-05
svhn,patience,0.019541935249984772,7.963805073635063e-05
svhn,resize_crop,0.0008576547689709775,1.4334097720580785e-05
svhn,shuffle,0.0015039167561387845,9.265641814962398e-06
svhn,tolerance,0.04417293214942534,0.0004099205205229718
svhn,v_flip,0.0036302230629043086,1.8014256237117953e-07
svhn,weight_decay,0.07678250528984819,0.00011267284376688733
mnist,batch_size,0.14566528828212494,0.07647525512465231
mnist,epochs,0.0331496604595443,0.8815764220432099
mnist,h_flip,0.0008398268068800529,1.2571000452691401e-06
mnist,learning_rate_init,0.10829508255064062,0.00010726736065014205
mnist,lr_decay,0.006856229911708366,4.820326824470055e-05
mnist,momentum,0.12009253229741414,6.46038522355428e-05
mnist,patience,0.016782538179173235,0.0003368769339674856
mnist,resize_crop,0.00894929418194232,3.251053465936612e-05
mnist,shuffle,0.0003972511728459495,6.029431528174219e-05
mnist,tolerance,0.004414064572238073,0.00019759924124485853
mnist,v_flip,0.0007424059467650818,6.421041649245298e-07
mnist,weight_decay,0.010164808652093842,4.713852591741012e-05
cifar10,batch_size,0.01723508674913407,0.07014593254291998
cifar10,epochs,0.007527943080571954,0.892416866390543
cifar10,h_flip,6.692266604947945e-05,4.355263379638836e-07
cifar10,learning_rate_init,0.3822550683501611,0.00015105287113017558
cifar10,lr_decay,0.002402313083606997,3.5672319693707345e-05
cifar10,momentum,0.013370518557744696,1.663288771284687e-05
cifar10,patience,0.030011730318145358,0.00031266656131217856
cifar10,resize_crop,0.0002183943246720669,7.194158818437243e-06
cifar10,shuffle,0.0010429559163950956,1.425765446008587e-05
cifar10,tolerance,0.005544611473266032,0.00020821125848711678
cifar10,v_flip,0.00033253130861165425,1.3279716130759014e-06
cifar10,weight_decay,0.2489714581913757,0.00019569828002012756
scmnist,batch_size,0.003526443895853993,0.05495291366828403
scmnist,epochs,0.022433708018083885,0.8981970306766959
scmnist,h_flip,2.1051448516754084e-05,3.125391453811739e-05
scmnist,learning_rate_init,0.020526720724070125,0.00012841286924102318
scmnist,lr_decay,0.016750566026814125,5.7184260580669835e-05
scmnist,momentum,0.016626377481302763,0.00030382432766000726
scmnist,patience,0.014991687836561744,0.0005580344348463154
scmnist,resize_crop,0.00930326676217462,5.413310089142129e-05
scmnist,shuffle,0.4845798289771219,0.0004389078131793419
scmnist,tolerance,0.001811577094796477,0.0001854583928248201
scmnist,v_flip,0.00015241705596725106,1.303720140584124e-06
scmnist,weight_decay,0.007961932934455306,3.150699389535698e-05
stl10,batch_size,0.003226534119818526,0.013228705727083212
stl10,epochs,0.02818034989190761,0.9716617909055568
stl10,h_flip,6.121102830855984e-05,6.4958763873825785e-06
stl10,learning_rate_init,0.26854643014906565,0.0002233682050578911
stl10,lr_decay,0.0015681057007642023,6.654401266544078e-06
stl10,momentum,0.01834648404119768,0.00011527447968777901
stl10,patience,0.04696282316113995,8.492653781395901e-05
stl10,resize_crop,0.009129692928987184,7.519857920783994e-07
stl10,shuffle,0.0011727285324994905,1.2479106923304178e-06
stl10,tolerance,0.015269103565551338,0.00019976974205097243
stl10,v_flip,0.004671509559592223,4.843326722974858e-06
stl10,weight_decay,0.2708721405937972,7.25506527226911e-05
