201 92.85 -9.0912009765625 795.4676160812378 13 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 92.95 -9.27362529296875 852.2612409591675 14 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 92.71 -9.188977734375 909.0404591560364 15 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 93.16 -9.1494734375 965.8339319229126 16 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 93.03 -9.256225 1022.6296784877777 17 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 92.23 -9.21351376953125 1079.4367921352386 18 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 92.89 -9.739258203125 1136.2415323257446 19 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 93.14 -9.56294501953125 1193.056961297989 20 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 92.6 -9.63497626953125 1249.8539452552795 21 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 93.25 -9.4822955078125 1306.6591823101044 22 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 92.95 -9.71307978515625 1363.4728753566742 23 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 93.05 -9.86474365234375 1420.2332305908203 24 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 92.73 -9.6579837890625 1477.004805803299 25 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 93.15 -9.967465234375 1533.7982096672058 26 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
202 10.0 -0.12705130462646486 37.52157664299011 0 {'batch_size': 256, 'epochs': 5, 'h_flip': True, 'learning_rate_init': 0.07705587636094648, 'lr_decay': 956, 'momentum': 0.9949921019338445, 'patience': 115, 'resize_crop': True, 'shuffle': True, 'tolerance': 2.202800861906057e-05, 'v_flip': False, 'weight_decay': 0.004289547554738316}
202 10.0 18.594074609375 75.02448916435242 1 {'batch_size': 256, 'epochs': 5, 'h_flip': True, 'learning_rate_init': 0.07705587636094648, 'lr_decay': 956, 'momentum': 0.9949921019338445, 'patience': 115, 'resize_crop': True, 'shuffle': True, 'tolerance': 2.202800861906057e-05, 'v_flip': False, 'weight_decay': 0.004289547554738316}
202 51.52 -4.674784228515625 112.51856088638306 2 {'batch_size': 256, 'epochs': 5, 'h_flip': True, 'learning_rate_init': 0.07705587636094648, 'lr_decay': 956, 'momentum': 0.9949921019338445, 'patience': 115, 'resize_crop': True, 'shuffle': True, 'tolerance': 2.202800861906057e-05, 'v_flip': False, 'weight_decay': 0.004289547554738316}
202 10.0 -0.022040594363212585 150.0286636352539 3 {'batch_size': 256, 'epochs': 5, 'h_flip': True, 'learning_rate_init': 0.07705587636094648, 'lr_decay': 956, 'momentum': 0.9949921019338445, 'patience': 115, 'resize_crop': True, 'shuffle': True, 'tolerance': 2.202800861906057e-05, 'v_flip': False, 'weight_decay': 0.004289547554738316}
202 10.01 26.85778203125 187.52189350128174 4 {'batch_size': 256, 'epochs': 5, 'h_flip': True, 'learning_rate_init': 0.07705587636094648, 'lr_decay': 956, 'momentum': 0.9949921019338445, 'patience': 115, 'resize_crop': True, 'shuffle': True, 'tolerance': 2.202800861906057e-05, 'v_flip': False, 'weight_decay': 0.004289547554738316}
