201 99.44 -10.66471357421875 1245.3949992656708 21 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.32 -10.13707236328125 1301.9474363327026 22 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.36 -10.407601953125 1358.513311624527 23 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.42 -10.4736740234375 1415.0659220218658 24 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.42 -10.5618763671875 1471.6092958450317 25 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.39 -10.47302216796875 1528.1719589233398 26 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
202 11.35 -0.15142619247436523 37.43298602104187 0 {'batch_size': 256, 'epochs': 5, 'h_flip': True, 'learning_rate_init': 0.07705587636094648, 'lr_decay': 956, 'momentum': 0.9949921019338445, 'patience': 115, 'resize_crop': True, 'shuffle': True, 'tolerance': 2.202800861906057e-05, 'v_flip': False, 'weight_decay': 0.004289547554738316}
202 14.07 -5.468176196289063 74.865225315094 1 {'batch_size': 256, 'epochs': 5, 'h_flip': True, 'learning_rate_init': 0.07705587636094648, 'lr_decay': 956, 'momentum': 0.9949921019338445, 'patience': 115, 'resize_crop': True, 'shuffle': True, 'tolerance': 2.202800861906057e-05, 'v_flip': False, 'weight_decay': 0.004289547554738316}
202 85.16 -7.181606494140625 112.28714108467102 2 {'batch_size': 256, 'epochs': 5, 'h_flip': True, 'learning_rate_init': 0.07705587636094648, 'lr_decay': 956, 'momentum': 0.9949921019338445, 'patience': 115, 'resize_crop': True, 'shuffle': True, 'tolerance': 2.202800861906057e-05, 'v_flip': False, 'weight_decay': 0.004289547554738316}
202 13.86 -0.07870893201828003 149.72492694854736 3 {'batch_size': 256, 'epochs': 5, 'h_flip': True, 'learning_rate_init': 0.07705587636094648, 'lr_decay': 956, 'momentum': 0.9949921019338445, 'patience': 115, 'resize_crop': True, 'shuffle': True, 'tolerance': 2.202800861906057e-05, 'v_flip': False, 'weight_decay': 0.004289547554738316}
202 12.18 -6.886958203125 187.15543174743652 4 {'batch_size': 256, 'epochs': 5, 'h_flip': True, 'learning_rate_init': 0.07705587636094648, 'lr_decay': 956, 'momentum': 0.9949921019338445, 'patience': 115, 'resize_crop': True, 'shuffle': True, 'tolerance': 2.202800861906057e-05, 'v_flip': False, 'weight_decay': 0.004289547554738316}
203 25.67 -0.7083312438964844 35.50651240348816 0 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 50.13 -1.7072033081054687 71.0372064113617 1 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 71.76 -3.2031781494140623 106.5432562828064 2 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 80.2 -4.160409057617188 142.03491163253784 3 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 79.37 -4.54732666015625 177.54005241394043 4 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 85.41 -5.2716779296875 213.03019428253174 5 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 88.35 -5.733878466796875 248.5606071949005 6 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 89.9 -6.060788818359375 284.09446358680725 7 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 89.09 -6.28541240234375 319.6419699192047 8 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 90.41 -6.419966455078125 355.1563787460327 9 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 91.79 -6.4990654296875 390.7015218734741 10 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 92.31 -6.839698681640625 426.24480748176575 11 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 94.14 -6.99386494140625 461.77057814598083 12 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
